[Epoch 075] train_loss=-3.17068649 | score=0.94429391 | val_nll=-3.31062855 | val_acc=0.96263545 | val_dt_mae=1.76721330 | val_qty_mae=0.66941418 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 076] train_loss=-3.17460438 | score=0.94243669 | val_nll=-3.31315767 | val_acc=0.96085067 | val_dt_mae=1.76721330 | val_qty_mae=0.74184803 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 077] train_loss=-3.17839314 | score=0.94349361 | val_nll=-3.31818790 | val_acc=0.96185896 | val_dt_mae=1.76721330 | val_qty_mae=0.69321521 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 078] train_loss=-3.18207780 | score=0.94328653 | val_nll=-3.32129251 | val_acc=0.96169670 | val_dt_mae=1.76721330 | val_qty_mae=0.73803633 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 079] train_loss=-3.18600351 | score=0.94280090 | val_nll=-3.32507523 | val_acc=0.96124471 | val_dt_mae=1.76721330 | val_qty_mae=0.77167674 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 080] train_loss=-3.19033610 | score=0.94260750 | val_nll=-3.32698556 | val_acc=0.96097815 | val_dt_mae=1.76721330 | val_qty_mae=0.69852425 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 081] train_loss=-3.19374659 | score=0.94343868 | val_nll=-3.32954594 | val_acc=0.96184737 | val_dt_mae=1.76721330 | val_qty_mae=0.73655455 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 082] train_loss=-3.19717191 | score=0.94467511 | val_nll=-3.33727368 | val_acc=0.96308744 | val_dt_mae=1.76721330 | val_qty_mae=0.74020365 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 083] train_loss=-3.20042588 | score=0.94280642 | val_nll=-3.33630231 | val_acc=0.96112882 | val_dt_mae=1.76721330 | val_qty_mae=0.65026889 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 084] train_loss=-3.20478806 | score=0.94391051 | val_nll=-3.34314190 | val_acc=0.96234571 | val_dt_mae=1.76721330 | val_qty_mae=0.76307002 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 085] train_loss=-3.20690590 | score=0.94332827 | val_nll=-3.34641163 | val_acc=0.96175465 | val_dt_mae=1.76721330 | val_qty_mae=0.75424340 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 086] train_loss=-3.21047799 | score=0.94337433 | val_nll=-3.34920981 | val_acc=0.96177783 | val_dt_mae=1.76721330 | val_qty_mae=0.73136923 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 087] train_loss=-3.21336153 | score=0.94432748 | val_nll=-3.35001572 | val_acc=0.96278612 | val_dt_mae=1.76721330 | val_qty_mae=0.78650710 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 088] train_loss=-3.21667509 | score=0.94419317 | val_nll=-3.35677303 | val_acc=0.96261227 | val_dt_mae=1.76721330 | val_qty_mae=0.74696670 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 089] train_loss=-3.21965289 | score=0.94468856 | val_nll=-3.36031465 | val_acc=0.96300632 | val_dt_mae=1.76721330 | val_qty_mae=0.64562770 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 090] train_loss=-3.22205070 | score=0.94197387 | val_nll=-3.35573596 | val_acc=0.96034073 | val_dt_mae=1.76721330 | val_qty_mae=0.69472895 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 091] train_loss=-3.22467037 | score=0.94333668 | val_nll=-3.35867112 | val_acc=0.96169670 | val_dt_mae=1.76721330 | val_qty_mae=0.68789103 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 092] train_loss=-3.22756468 | score=0.94381496 | val_nll=-3.36539592 | val_acc=0.96218346 | val_dt_mae=1.76721330 | val_qty_mae=0.69636962 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 093] train_loss=-3.23028309 | score=0.94427805 | val_nll=-3.36730538 | val_acc=0.96265863 | val_dt_mae=1.76721330 | val_qty_mae=0.70844964 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
